# x_perp   Delta_GR(km/s)   Delta_f(R)(km/s)   Delta_DGP(km/s)
0.582566   -3.26131   -4.34842   -2.31601
0.586819   -3.27212   -4.36283   -2.32368
0.591071   -3.2829   -4.3772   -2.33134
0.595323   -3.29365   -4.39153   -2.33897
0.599576   -3.30436   -4.40582   -2.34658
0.603828   -3.31505   -4.42006   -2.35416
0.60808   -3.3257   -4.43427   -2.36173
0.612333   -3.33633   -4.44843   -2.36927
0.616585   -3.34692   -4.46256   -2.3768
0.620837   -3.35748   -4.47664   -2.3843
0.62509   -3.36802   -4.49069   -2.39178
0.629342   -3.37852   -4.5047   -2.39924
0.633594   -3.389   -4.51867   -2.40668
0.637847   -3.39945   -4.5326   -2.4141
0.642099   -3.40987   -4.54649   -2.4215
0.646351   -3.42026   -4.56034   -2.42888
0.650603   -3.43062   -4.57416   -2.43624
0.654856   -3.44095   -4.58794   -2.44357
0.659108   -3.45126   -4.60168   -2.45089
0.66336   -3.46154   -4.61538   -2.45819
0.667613   -3.47179   -4.62905   -2.46547
0.671865   -3.48201   -4.64268   -2.47273
0.676117   -3.49221   -4.65628   -2.47997
0.68037   -3.50238   -4.66984   -2.4872
0.684622   -3.51252   -4.68336   -2.4944
0.688874   -3.52264   -4.69685   -2.50158
0.693127   -3.53273   -4.71031   -2.50875
0.697379   -3.54279   -4.72373   -2.5159
0.701631   -3.55283   -4.73711   -2.52303
0.705883   -3.56285   -4.75046   -2.53014
0.710136   -3.57283   -4.76378   -2.53723
0.714388   -3.58279   -4.77706   -2.5443
0.71864   -3.59273   -4.79031   -2.55136
0.722893   -3.60264   -4.80352   -2.5584
0.727145   -3.61253   -4.81671   -2.56542
0.731397   -3.62239   -4.82985   -2.57242
0.73565   -3.63223   -4.84297   -2.57941
0.739902   -3.64204   -4.85605   -2.58638
0.744154   -3.65183   -4.8691   -2.59333
0.748407   -3.66159   -4.88212   -2.60026
0.752659   -3.67133   -4.89511   -2.60718
0.756911   -3.68105   -4.90806   -2.61408
0.761164   -3.69074   -4.92099   -2.62096
0.765416   -3.70041   -4.93388   -2.62783
0.769668   -3.71005   -4.94674   -2.63468
0.77392   -3.71968   -4.95957   -2.64151
0.778173   -3.72928   -4.97237   -2.64833
0.782425   -3.73885   -4.98513   -2.65513
