# x_perp   Delta_GR(km/s)   Delta_f(R)(km/s)   Delta_DGP(km/s)
2.54713   -6.51707   -8.68943   -4.62806
2.55139   -6.52191   -8.69587   -4.6315
2.55564   -6.52674   -8.70231   -4.63493
2.55989   -6.53156   -8.70874   -4.63835
2.56414   -6.53637   -8.71517   -4.64177
2.5684   -6.54119   -8.72158   -4.64519
2.57265   -6.54599   -8.72799   -4.6486
2.5769   -6.55079   -8.73439   -4.65201
2.58115   -6.55558   -8.74078   -4.65541
2.5854   -6.56037   -8.74716   -4.65881
2.58966   -6.56515   -8.75353   -4.66221
2.59391   -6.56993   -8.7599   -4.6656
2.59816   -6.57469   -8.76626   -4.66899
2.60241   -6.57946   -8.77261   -4.67237
2.60667   -6.58422   -8.77895   -4.67575
2.61092   -6.58897   -8.78529   -4.67912
2.61517   -6.59371   -8.79162   -4.68249
2.61942   -6.59845   -8.79794   -4.68586
2.62368   -6.60319   -8.80425   -4.68922
2.62793   -6.60791   -8.81055   -4.69258
2.63218   -6.61264   -8.81685   -4.69593
2.63643   -6.61735   -8.82314   -4.69928
2.64068   -6.62206   -8.82942   -4.70262
2.64494   -6.62677   -8.83569   -4.70597
2.64919   -6.63147   -8.84196   -4.7093
2.65344   -6.63616   -8.84821   -4.71263
2.65769   -6.64085   -8.85446   -4.71596
2.66195   -6.64553   -8.8607   -4.71929
2.6662   -6.6502   -8.86694   -4.72261
2.67045   -6.65487   -8.87317   -4.72593
2.6747   -6.65954   -8.87939   -4.72924
2.67896   -6.6642   -8.8856   -4.73255
2.68321   -6.66885   -8.8918   -4.73585
2.68746   -6.6735   -8.898   -4.73915
2.69171   -6.67814   -8.90419   -4.74245
2.69596   -6.68278   -8.91037   -4.74574
2.70022   -6.68741   -8.91654   -4.74903
2.70447   -6.69203   -8.92271   -4.75231
2.70872   -6.69665   -8.92887   -4.75559
2.71297   -6.70126   -8.93502   -4.75887
2.71723   -6.70587   -8.94116   -4.76214
2.72148   -6.71047   -8.9473   -4.76541
2.72573   -6.71507   -8.95343   -4.76867
2.72998   -6.71966   -8.95955   -4.77193
2.73424   -6.72425   -8.96566   -4.77519
2.73849   -6.72883   -8.97177   -4.77844
2.74274   -6.7334   -8.97787   -4.78169
2.74699   -6.73797   -8.98396   -4.78494
2.75124   -6.74254   -8.99005   -4.78818
2.7555   -6.74709   -8.99613   -4.79141
2.75975   -6.75165   -9.0022   -4.79465
2.764   -6.75619   -9.00826   -4.79788
2.76825   -6.76074   -9.01431   -4.8011
2.77251   -6.76527   -9.02036   -4.80432
2.77676   -6.7698   -9.0264   -4.80754
2.78101   -6.77433   -9.03244   -4.81076
2.78526   -6.77885   -9.03847   -4.81397
2.78952   -6.78336   -9.04448   -4.81717
2.79377   -6.78787   -9.0505   -4.82037
2.79802   -6.79238   -9.0565   -4.82357
2.80227   -6.79688   -9.0625   -4.82677
2.80652   -6.80137   -9.06849   -4.82996
2.81078   -6.80586   -9.07447   -4.83314
2.81503   -6.81034   -9.08045   -4.83633
2.81928   -6.81482   -9.08642   -4.83951
2.82353   -6.81929   -9.09238   -4.84268
2.82779   -6.82375   -9.09834   -4.84585
2.83204   -6.82822   -9.10429   -4.84902
2.83629   -6.83267   -9.11023   -4.85219
2.84054   -6.83712   -9.11616   -4.85535
2.8448   -6.84157   -9.12209   -4.8585
2.84905   -6.84601   -9.12801   -4.86166
2.8533   -6.85044   -9.13392   -4.86481
2.85755   -6.85487   -9.13983   -4.86795
2.8618   -6.8593   -9.14573   -4.87109
2.86606   -6.86372   -9.15162   -4.87423
2.87031   -6.86813   -9.15751   -4.87737
2.87456   -6.87254   -9.16338   -4.8805
2.87881   -6.87694   -9.16926   -4.88363
2.88307   -6.88134   -9.17512   -4.88675
2.88732   -6.88573   -9.18098   -4.88987
2.89157   -6.89012   -9.18683   -4.89299
2.89582   -6.89451   -9.19267   -4.8961
2.90008   -6.89888   -9.19851   -4.89921
2.90433   -6.90326   -9.20434   -4.90231
2.90858   -6.90762   -9.21017   -4.90541
2.91283   -6.91199   -9.21598   -4.90851
2.91708   -6.91634   -9.22179   -4.91161
2.92134   -6.9207   -9.2276   -4.9147
2.92559   -6.92504   -9.23339   -4.91778
2.92984   -6.92939   -9.23918   -4.92087
2.93409   -6.93372   -9.24496   -4.92395
2.93835   -6.93806   -9.25074   -4.92703
2.9426   -6.94238   -9.25651   -4.9301
2.94685   -6.94671   -9.26227   -4.93317
2.9511   -6.95102   -9.26803   -4.93623
2.95536   -6.95533   -9.27378   -4.9393
2.95961   -6.95964   -9.27952   -4.94235
2.96386   -6.96394   -9.28526   -4.94541
2.96811   -6.96824   -9.29099   -4.94846
2.97236   -6.97253   -9.29671   -4.95151
2.97662   -6.97682   -9.30243   -4.95455
2.98087   -6.9811   -9.30814   -4.9576
2.98512   -6.98538   -9.31384   -4.96063
2.98937   -6.98965   -9.31954   -4.96367
2.99363   -6.99392   -9.32523   -4.9667
2.99788   -6.99818   -9.33091   -4.96972
3.00213   -7.00244   -9.33659   -4.97275
3.00638   -7.00669   -9.34226   -4.97577
3.01064   -7.01094   -9.34792   -4.97879
3.01489   -7.01519   -9.35358   -4.9818
3.01914   -7.01942   -9.35923   -4.98481
3.02339   -7.02366   -9.36488   -4.98782
3.02764   -7.02789   -9.37052   -4.99082
3.0319   -7.03211   -9.37615   -4.99382
3.03615   -7.03633   -9.38177   -4.99681
3.0404   -7.04054   -9.38739   -4.99981
3.04465   -7.04475   -9.393   -5.0028
3.04891   -7.04896   -9.39861   -5.00578
3.05316   -7.05316   -9.40421   -5.00876
3.05741   -7.05735   -9.4098   -5.01174
3.06166   -7.06154   -9.41539   -5.01472
3.06592   -7.06573   -9.42097   -5.01769
3.07017   -7.06991   -9.42655   -5.02066
3.07442   -7.07409   -9.43212   -5.02363
3.07867   -7.07826   -9.43768   -5.02659
3.08292   -7.08242   -9.44323   -5.02955
3.08718   -7.08659   -9.44878   -5.0325
3.09143   -7.09074   -9.45432   -5.03546
3.09568   -7.0949   -9.45986   -5.0384
3.09993   -7.09904   -9.46539   -5.04135
3.10419   -7.10319   -9.47092   -5.04429
3.10844   -7.10733   -9.47643   -5.04723
3.11269   -7.11146   -9.48195   -5.05017
3.11694   -7.11559   -9.48745   -5.0531
3.1212   -7.11971   -9.49295   -5.05603
3.12545   -7.12383   -9.49845   -5.05895
3.1297   -7.12795   -9.50393   -5.06188
3.13395   -7.13206   -9.50941   -5.0648
3.1382   -7.13617   -9.51489   -5.06771
3.14246   -7.14027   -9.52036   -5.07063
3.14671   -7.14437   -9.52582   -5.07353
3.15096   -7.14846   -9.53128   -5.07644
3.15521   -7.15255   -9.53673   -5.07934
3.15947   -7.15663   -9.54217   -5.08224
3.16372   -7.16071   -9.54761   -5.08514
3.16797   -7.16478   -9.55304   -5.08803
3.17222   -7.16885   -9.55847   -5.09092
3.17648   -7.17292   -9.56389   -5.09381
3.18073   -7.17698   -9.5693   -5.09669
3.18498   -7.18103   -9.57471   -5.09957
3.18923   -7.18508   -9.58011   -5.10245
3.19348   -7.18913   -9.58551   -5.10533
3.19774   -7.19317   -9.5909   -5.1082
3.20199   -7.19721   -9.59628   -5.11106
3.20624   -7.20125   -9.60166   -5.11393
3.21049   -7.20528   -9.60703   -5.11679
3.21475   -7.2093   -9.6124   -5.11965
3.219   -7.21332   -9.61776   -5.1225
3.22325   -7.21734   -9.62312   -5.12536
3.2275   -7.22135   -9.62846   -5.1282
3.23176   -7.22536   -9.63381   -5.13105
3.23601   -7.22936   -9.63914   -5.13389
3.24026   -7.23336   -9.64448   -5.13673
3.24451   -7.23735   -9.6498   -5.13957
3.24876   -7.24134   -9.65512   -5.1424
3.25302   -7.24533   -9.66043   -5.14523
3.25727   -7.24931   -9.66574   -5.14806
3.26152   -7.25328   -9.67104   -5.15088
3.26577   -7.25725   -9.67634   -5.1537
3.27003   -7.26122   -9.68163   -5.15652
3.27428   -7.26519   -9.68691   -5.15933
3.27853   -7.26914   -9.69219   -5.16215
3.28278   -7.2731   -9.69747   -5.16495
3.28704   -7.27705   -9.70273   -5.16776
3.29129   -7.281   -9.708   -5.17056
3.29554   -7.28494   -9.71325   -5.17336
3.29979   -7.28888   -9.7185   -5.17616
3.30404   -7.29281   -9.72375   -5.17895
3.3083   -7.29674   -9.72898   -5.18174
3.31255   -7.30066   -9.73422   -5.18453
3.3168   -7.30458   -9.73944   -5.18731
3.32105   -7.3085   -9.74467   -5.19009
3.32531   -7.31241   -9.74988   -5.19287
3.32956   -7.31632   -9.75509   -5.19565
3.33381   -7.32022   -9.7603   -5.19842
3.33806   -7.32412   -9.7655   -5.20119
3.34232   -7.32802   -9.77069   -5.20395
3.34657   -7.33191   -9.77588   -5.20672
3.35082   -7.33579   -9.78106   -5.20948
3.35507   -7.33968   -9.78624   -5.21223
3.35932   -7.34356   -9.79141   -5.21499
3.36358   -7.34743   -9.79657   -5.21774
3.36783   -7.3513   -9.80173   -5.22049
3.37208   -7.35517   -9.80689   -5.22323
3.37633   -7.35903   -9.81204   -5.22598
3.38059   -7.36288   -9.81718   -5.22872
3.38484   -7.36674   -9.82232   -5.23145
3.38909   -7.37059   -9.82745   -5.23419
3.39334   -7.37443   -9.83258   -5.23692
3.3976   -7.37827   -9.8377   -5.23964
3.40185   -7.38211   -9.84281   -5.24237
3.4061   -7.38594   -9.84792   -5.24509
3.41035   -7.38977   -9.85303   -5.24781
3.41461   -7.3936   -9.85813   -5.25053
3.41886   -7.39742   -9.86322   -5.25324
3.42311   -7.40123   -9.86831   -5.25595
3.42736   -7.40505   -9.87339   -5.25866
3.43161   -7.40885   -9.87847   -5.26136
3.43587   -7.41266   -9.88354   -5.26406
3.44012   -7.41646   -9.88861   -5.26676
3.44437   -7.42026   -9.89367   -5.26946
3.44862   -7.42405   -9.89873   -5.27215
3.45288   -7.42784   -9.90378   -5.27484
3.45713   -7.43162   -9.90883   -5.27753
3.46138   -7.4354   -9.91387   -5.28021
3.46563   -7.43918   -9.9189   -5.28289
3.46989   -7.44295   -9.92393   -5.28557
3.47414   -7.44672   -9.92896   -5.28825
3.47839   -7.45048   -9.93397   -5.29092
3.48264   -7.45424   -9.93899   -5.29359
3.48689   -7.458   -9.944   -5.29626
3.49115   -7.46175   -9.949   -5.29892
3.4954   -7.4655   -9.954   -5.30159
3.49965   -7.46924   -9.95899   -5.30424
3.5039   -7.47298   -9.96398   -5.3069
3.50816   -7.47672   -9.96896   -5.30955
3.51241   -7.48045   -9.97394   -5.31221
3.51666   -7.48418   -9.97891   -5.31485
3.52091   -7.48791   -9.98387   -5.3175
3.52517   -7.49163   -9.98884   -5.32014
3.52942   -7.49534   -9.99379   -5.32278
3.53367   -7.49906   -9.99874   -5.32542
3.53792   -7.50277   -10.0037   -5.32805
3.54217   -7.50647   -10.0086   -5.33068
3.54643   -7.51017   -10.0136   -5.33331
3.55068   -7.51387   -10.0185   -5.33594
3.55493   -7.51757   -10.0234   -5.33856
3.55918   -7.52126   -10.0283   -5.34118
3.56344   -7.52494   -10.0333   -5.3438
3.56769   -7.52862   -10.0382   -5.34641
3.57194   -7.5323   -10.0431   -5.34903
3.57619   -7.53598   -10.048   -5.35164
3.58045   -7.53965   -10.0529   -5.35424
3.5847   -7.54331   -10.0578   -5.35685
3.58895   -7.54698   -10.0626   -5.35945
3.5932   -7.55064   -10.0675   -5.36205
3.59745   -7.55429   -10.0724   -5.36464
3.60171   -7.55794   -10.0773   -5.36724
3.60596   -7.56159   -10.0821   -5.36983
3.61021   -7.56524   -10.087   -5.37241
3.61446   -7.56888   -10.0918   -5.375
3.61872   -7.57251   -10.0967   -5.37758
3.62297   -7.57615   -10.1015   -5.38016
3.62722   -7.57978   -10.1064   -5.38274
3.63147   -7.5834   -10.1112   -5.38531
3.63573   -7.58702   -10.116   -5.38789
3.63998   -7.59064   -10.1209   -5.39046
3.64423   -7.59426   -10.1257   -5.39302
3.64848   -7.59787   -10.1305   -5.39559
3.65273   -7.60147   -10.1353   -5.39815
3.65699   -7.60508   -10.1401   -5.40071
3.66124   -7.60868   -10.1449   -5.40326
3.66549   -7.61227   -10.1497   -5.40582
3.66974   -7.61587   -10.1545   -5.40837
3.674   -7.61945   -10.1593   -5.41092
3.67825   -7.62304   -10.1641   -5.41346
3.6825   -7.62662   -10.1688   -5.41601
3.68675   -7.6302   -10.1736   -5.41855
3.69101   -7.63377   -10.1784   -5.42108
3.69526   -7.63734   -10.1831   -5.42362
3.69951   -7.64091   -10.1879   -5.42615
3.70376   -7.64447   -10.1926   -5.42868
3.70801   -7.64803   -10.1974   -5.43121
3.71227   -7.65159   -10.2021   -5.43374
3.71652   -7.65514   -10.2069   -5.43626
3.72077   -7.65869   -10.2116   -5.43878
3.72502   -7.66223   -10.2163   -5.4413
3.72928   -7.66577   -10.221   -5.44381
3.73353   -7.66931   -10.2257   -5.44632
3.73778   -7.67285   -10.2305   -5.44883
3.74203   -7.67638   -10.2352   -5.45134
3.74629   -7.6799   -10.2399   -5.45385
3.75054   -7.68343   -10.2446   -5.45635
3.75479   -7.68695   -10.2493   -5.45885
3.75904   -7.69046   -10.254   -5.46134
3.76329   -7.69398   -10.2586   -5.46384
3.76755   -7.69749   -10.2633   -5.46633
3.7718   -7.70099   -10.268   -5.46882
3.77605   -7.70449   -10.2727   -5.47131
3.7803   -7.70799   -10.2773   -5.47379
3.78456   -7.71149   -10.282   -5.47627
3.78881   -7.71498   -10.2866   -5.47875
3.79306   -7.71847   -10.2913   -5.48123
3.79731   -7.72195   -10.2959   -5.48371
3.80157   -7.72543   -10.3006   -5.48618
3.80582   -7.72891   -10.3052   -5.48865
3.81007   -7.73239   -10.3098   -5.49112
3.81432   -7.73586   -10.3145   -5.49358
3.81857   -7.73932   -10.3191   -5.49604
3.82283   -7.74279   -10.3237   -5.4985
3.82708   -7.74625   -10.3283   -5.50096
3.83133   -7.74971   -10.3329   -5.50341
3.83558   -7.75316   -10.3375   -5.50587
3.83984   -7.75661   -10.3421   -5.50832
3.84409   -7.76006   -10.3467   -5.51076
3.84834   -7.7635   -10.3513   -5.51321
3.85259   -7.76694   -10.3559   -5.51565
3.85685   -7.77038   -10.3605   -5.51809
3.8611   -7.77381   -10.3651   -5.52053
3.86535   -7.77724   -10.3697   -5.52297
3.8696   -7.78066   -10.3742   -5.5254
3.87385   -7.78409   -10.3788   -5.52783
3.87811   -7.78751   -10.3833   -5.53026
3.88236   -7.79092   -10.3879   -5.53268
3.88661   -7.79433   -10.3924   -5.53511
3.89086   -7.79774   -10.397   -5.53753
3.89512   -7.80115   -10.4015   -5.53995
3.89937   -7.80455   -10.4061   -5.54236
3.90362   -7.80795   -10.4106   -5.54478
3.90787   -7.81135   -10.4151   -5.54719
3.91213   -7.81474   -10.4197   -5.5496
3.91638   -7.81813   -10.4242   -5.552
3.92063   -7.82151   -10.4287   -5.55441
3.92488   -7.8249   -10.4332   -5.55681
3.92913   -7.82828   -10.4377   -5.55921
3.93339   -7.83165   -10.4422   -5.56161
3.93764   -7.83502   -10.4467   -5.564
3.94189   -7.83839   -10.4512   -5.5664
3.94614   -7.84176   -10.4557   -5.56879
3.9504   -7.84512   -10.4602   -5.57117
3.95465   -7.84848   -10.4646   -5.57356
3.9589   -7.85184   -10.4691   -5.57594
3.96315   -7.85519   -10.4736   -5.57832
3.96741   -7.85854   -10.4781   -5.5807
3.97166   -7.86189   -10.4825   -5.58308
3.97591   -7.86523   -10.487   -5.58545
3.98016   -7.86857   -10.4914   -5.58782
3.98441   -7.8719   -10.4959   -5.59019
3.98867   -7.87524   -10.5003   -5.59256
3.99292   -7.87857   -10.5048   -5.59492
3.99717   -7.88189   -10.5092   -5.59729
4.00142   -7.88522   -10.5136   -5.59965
4.00568   -7.88854   -10.5181   -5.60201
4.00993   -7.89185   -10.5225   -5.60436
4.01418   -7.89517   -10.5269   -5.60671
4.01843   -7.89848   -10.5313   -5.60906
4.02269   -7.90179   -10.5357   -5.61141
4.02694   -7.90509   -10.5401   -5.61376
4.03119   -7.90839   -10.5445   -5.6161
4.03544   -7.91169   -10.5489   -5.61845
4.03969   -7.91498   -10.5533   -5.62079
4.04395   -7.91828   -10.5577   -5.62312
4.0482   -7.92156   -10.5621   -5.62546
4.05245   -7.92485   -10.5665   -5.62779
4.0567   -7.92813   -10.5708   -5.63012
4.06096   -7.93141   -10.5752   -5.63245
4.06521   -7.93468   -10.5796   -5.63478
4.06946   -7.93796   -10.5839   -5.6371
4.07371   -7.94123   -10.5883   -5.63942
4.07797   -7.94449   -10.5927   -5.64174
4.08222   -7.94776   -10.597   -5.64406
4.08647   -7.95102   -10.6014   -5.64637
4.09072   -7.95427   -10.6057   -5.64869
4.09497   -7.95753   -10.61   -5.651
4.09923   -7.96078   -10.6144   -5.6533
4.10348   -7.96402   -10.6187   -5.65561
4.10773   -7.96727   -10.623   -5.65791
4.11198   -7.97051   -10.6273   -5.66022
4.11624   -7.97375   -10.6317   -5.66252
4.12049   -7.97698   -10.636   -5.66481
4.12474   -7.98021   -10.6403   -5.66711
4.12899   -7.98344   -10.6446   -5.6694
4.13325   -7.98667   -10.6489   -5.67169
4.1375   -7.98989   -10.6532   -5.67398
4.14175   -7.99311   -10.6575   -5.67627
4.146   -7.99633   -10.6618   -5.67855
4.15025   -7.99954   -10.6661   -5.68083
4.15451   -8.00275   -10.6703   -5.68311
4.15876   -8.00596   -10.6746   -5.68539
4.16301   -8.00916   -10.6789   -5.68767
4.16726   -8.01236   -10.6832   -5.68994
4.17152   -8.01556   -10.6874   -5.69221
4.17577   -8.01876   -10.6917   -5.69448
4.18002   -8.02195   -10.6959   -5.69675
4.18427   -8.02514   -10.7002   -5.69901
4.18853   -8.02832   -10.7044   -5.70127
4.19278   -8.03151   -10.7087   -5.70353
4.19703   -8.03469   -10.7129   -5.70579
4.20128   -8.03786   -10.7172   -5.70805
4.20553   -8.04104   -10.7214   -5.7103
4.20979   -8.04421   -10.7256   -5.71255
4.21404   -8.04738   -10.7298   -5.7148
4.21829   -8.05054   -10.7341   -5.71705
4.22254   -8.05371   -10.7383   -5.7193
4.2268   -8.05686   -10.7425   -5.72154
4.23105   -8.06002   -10.7467   -5.72378
4.2353   -8.06317   -10.7509   -5.72602
4.23955   -8.06632   -10.7551   -5.72826
4.24381   -8.06947   -10.7593   -5.73049
